,,ROEWE Model,Sticker Price (RMB),National Subsidy,Local Subsidy,Liscense Plate Fee,Purchase Tax,Final Price
,,ERX5 (EV400),282000,45000,22000,0,0,215000
,,RX5 (2018),158000,0,0,89000,13000,260000
,,BEV (Passenger),Standards,2018,2019,Percentage Change,,
,,"Driving Range
(KM)",150≤R<200,15000,0,-1,,
,,,200≤R<250,24000,0,-1,,
,,,250≤R<300,34000,18000,-0.47058823529411764,,
,,,300≤R<400,45000,18000,-0.6,,
,,,R≥400,50000,25000,-0.5,,
,,"Energy Density
(Wh/kg)",E<105,0,0,0,,
,,,105≤E<120,6000,0,-1,,
,,,120≤E<125,10000,0,-1,,
,,,125≤E<140,10000,8000,-0.2,,
,,,140≤E<160,11000,9000,-0.18181818181818182,,
,,,E≥160,12000,10000,-0.16666666666666666,,
