,PVS,BEV,,statista,,,,,,
2010,2916260,541,0.00018551157990028325,https://insideevs.com/news/393067/plugin-car-sales-germany-december-2019/,,,,,,
2011,3173634,2154,0.0006787172055756902,,,,,,,
2012,3082504,2956,0.0009589606371962535,,,,,,,
2013,2952431,6051,0.0020494975157759826,,,,,,,
2014,3036773,8522,0.0028062683644776874,,,,,,,
2015,3206042,12363,0.00385615659433033,,,,,,,
2016,3351607,11410,0.003404337083673593,,,,,,,
2017,3443845,25056,0.007275588767787168,,,,,,,
2018,3435778,36062,0.01049602157066027,,,,,,,
2019,3607258,63281,0.017542687548270736,,,,,,,
,Normal Charge (<=22kw),ChaDeMo,CCS,Type-2AC,Tesla SC,Total,,,,
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,1500,18,,,,1518,,2956,,1.9472990777338604
2013,2400,47,,,,2447,,6051,,2.472823865958316
2014,2606,77,116,18,124,2941,,8522,,2.897653859231554
2015,4587,243,271,200,270,5571,,12363,,2.21917070543888
2016,16266,951,1137,551,388,19293,,11410,,0.5914062095060385
2017,22213,951,1131,670,408,25373,,25056,,0.9875064044456706
2018,23112,1263,1617,995,472,27459,,36062,,1.3133034706289377
2019,28382,1935,2559,1217,546,34639,,63281,,1.8268714454805277
