statista.com,,,Combined Charging System,,,,,,,
,Standard,Chademo 50kw,CCS 50kw,Type 243 kw,Tesla Supercharger,Total,BEV,,,
2011,3105,18,,,,3123,1826.154,0.0132,,0.5847435158501441
2012,3688,58,,,,3746,4139.01,0.03,,1.1049145755472505
2013,4511,83,4,,44,4642,8059.9617,0.0567,,1.7363123007324428
2014,5471,108,49,,92,5720,17607.0642,0.1221,,3.078158076923077
2015,6253,284,224,104,190,7055,24275.5146,0.1611,,3.4408950531537914
2016,6413,516,477,65,228,7699,22216.4511,0.1437,,2.8856281465125337
2017,7141,843,796,48,338,9166,31190.59,0.1966,,3.4028572987126338
2018,7910,1103,1087,49,562,10711,43594.6763,0.2947,,4.070084613948278
2019,,,,,,11889,59800,0.41999985953181956,,5.029859534023046
,,,,,,,142381,,,
,,,,,,,,Public Charging Piles,,
,,,,,,,,BEV Sales,,
