,,Audi e-tron 55 quattro,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,288800,272200,257240,243756,231600.4,220640.36,210756.324,201840.6916,193796.62244,186536.960196,179983.2641764,174064.93775876
,,Purchase Tax,0,0,25724,24375.600000000002,23160.04,22064.036,21075.632400000002,20184.06916,19379.662244000003,18653.6960196,17998.32641764,17406.493775876002
,,Consumer Final Price,288800,272200,282964,268131.6,254760.44,242704.39599999998,231831.9564,222024.76075999998,213176.284684,205190.6562156,197981.59059404,191471.431534636
,,Dealer Gross Profit(5%),14440,13610,12862,12187.800000000001,11580.02,11032.018,10537.816200000001,10092.03458,9689.831122000001,9326.8480098,8999.16320882,8703.246887938001
,,Range (km),470,470,470,470,470,470,470,470,470,470,470,470
,,Battery (kwh),95,95,95,95,95,95,95,95,95,95,95,95
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,35000,35000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,309360,293590,244378,231568.2,220020.38,209608.34199999998,200218.5078,191748.65701999998,184106.791318,177210.11218619999,170984.10096758,165361.690870822
,,Revenue (after vat),269143.2,255423.3,212608.86,201464.334,191417.7306,182359.25754,174190.10178599998,166821.33160739997,160172.90844666,154172.79760199398,148756.16784179458,143864.67105761514
,,Power Battery System Cost,114000,102600,92340.00000000001,83106.00000000001,74795.40000000001,67315.86,60584.27400000001,54525.84660000001,49073.26194000001,44165.93574600001,39749.34217140001,35774.40795426001
,,"Electric Motor &
Electric Controlling",30000,29800,29600,29400,29200,29000,28800,28600,28400,28200,28000,27800
,,Other Cost,50000,45000,40500,36450,32805,29524.5,26572.05,23914.845,21523.360500000003,19371.024450000004,17433.922005000004,15690.529804500004
,,Profit Margin(BEV),75143.20000000001,78023.29999999999,50168.85999999997,52508.33399999999,54617.3306,56518.89753999999,58233.77778599998,59780.640007399954,61176.28600665999,62435.837405993974,63572.90366539458,64599.73329885513
,,PM/Revenue,0.24289888802689427,0.2657559862393133,0.20529204756565636,0.2267510564922126,0.24823759780798488,0.2696404971325044,0.2908511227352179,0.3117656255666221,0.3322869600230702,0.35232660617239925,0.3718059357896003,0.390657188848652
,,Audi A6 all-road quattro,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,282800,285400,288052,290757.04000000004,293516.18080000003,296330.50441600004,299201.1145043201,302129.13679440646,305115.71953029453,308162.0339209004,311269.2745993184,314438.6600913048
,,Purchase Tax,28280,28540,28805.2,29075.704000000005,29351.618080000004,29633.050441600004,29920.11145043201,30212.913679440648,30511.571953029455,30816.20339209004,31126.92745993184,31443.86600913048
,,Consumer Final Price,311080,313940,316857.2,319832.74400000006,322867.79888,325963.5548576,329121.22595475207,332342.0504738471,335627.29148332396,338978.2373129904,342396.2020592502,345882.5261004353
,,Dealer Gross Profit (5%),14140,14270,14402.6,14537.852000000003,14675.809040000002,14816.525220800002,14960.055725216005,15106.456839720324,15255.785976514728,15408.10169604502,15563.46372996592,15721.93300456524
,,Auto Company Revenue,268660,271130,273649.4,276219.188,278840.37176,281513.9791952,284241.0587791041,287022.67995468614,289859.9335537798,292753.93222485535,295705.8108693525,298716.72708673956
,,Revenue (after vat),233734.2,235883.1,238074.97800000003,240310.69356,242591.12343120002,244917.16189982402,247289.72113782057,249709.73156057694,252178.1421917884,254695.92103562417,257264.05545633665,259883.5525654634
,,Motor Cost,80000,81600,83232,84896.64,86594.5728,88326.46425599999,90092.99354112,91894.8534119424,93732.75048018125,95607.40548978487,97519.55359958057,99469.94467157219
,,Transmission Cost,50000,51000,52020,53060.4,54121.608,55204.040160000004,56308.1209632,57434.283382464004,58582.969050113286,59754.628431115554,60949.72099973787,62168.71541973262
,,48V System Cost,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,,Other Cost,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
,,Profit Margin(ICEV),13734.200000000012,13283.100000000006,12822.978000000032,12353.653560000035,11874.942631200014,11386.657483824034,10888.606633500574,10380.594766170543,9862.422661493882,9333.887114723737,8794.78085701821,8244.892474158609
,,PM/Revenue,0.05112111963076011,0.048991627632501034,0.04685914896944788,0.04472409628544717,0.042586884231458656,0.04044792914503403,0.038307648727000335,0.03616646171588038,0.03402478756058928,0.031883046091946816,0.029741657193554046,0.02760104047258293
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,-22280,-41740,-33893.20000000001,-51701.14400000009,-68107.35888000001,-83259.15885760004,-97289.26955475207,-110317.2897138471,-122451.00679932395,-133787.58109739042,-144414.6114652102,-154411.09456579929
,ICEV         BEV,,"Tesla Model S
","Tesla Model Y （SUV）
","Mercedes Benz EQC （SUV）
","Nio es6 （SUV）
","Nio es8 （SUV）
","Jaguar I-Pace
","Audi e-tron
","BYD Tang EV （SUV）
","Aiways U5 （SUV）
","DENZA X（SUV）
","Roewe MarvelX （SUV）
",
,,,843900,859900,601300,428000,517000,673800,723000,334900,245000,338800,288800,
" 
","JAC Ruifeng A60
",184500,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,2023,Post 2030,2026,
,"Mercedes Benz GLC （SUV）

",694800,Post 2030,Post 2030,2019,2019,2019,2019,2019,2019,2019,2019,2019,
,"Mercedes Benz C Class
",615300,Post 2030,Post 2030,2019,2019,2019,2019,2027,2019,2019,2019,2019,
,"BMW X3 （SUV）

",434800,Post 2030,Post 2030,Post 2030,2019,2025,Post 2030,Post 2030,2019,2019,2019,2019,
,"BMW X5 （SUV）
",729900,2027,2029,2019,2019,2019,2019,2019,2019,2019,2019,2019,
,"Jaguar F-Type
",613900,Post 2030,Post 2030,2019,2019,2019,2019,2027,2019,2019,2019,2019,
,"Audi SQ5 （SUV）

",668000,Post 2030,Post 2030,2019,2019,2019,2019,2023,2019,2019,2019,2019,
,"BYD Tang （SUV）
",149900,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,Post 2030,2026,Post 2030,2030,
,"Volvo XC60 
",416400,Post 2030,Post 2030,Post 2030,2019,2026,Post 2030,Post 2030,2019,2019,2019,2019,
,"Volvo XC90 
",733900,2027,2028,2019,2019,2019,2019,2019,2019,2019,2019,2019,
,"Toyota Highlander 
",282800,Post 2030,Post 2030,Post 2030,2030,Post 2030,Post 2030,Post 2030,2022,2019,2023,2019,
Short,64,0.5289256198347108,,,,,,,,,,,,
Middle,4,0.03305785123966942,,,,,,,,,,,,
Long,53,0.4380165289256198,,,,,,,,,,,,
,,,,,,516685.71428571426,,,,,,,,
Volvo XC90,,,,,532285.7142857143,,,,,,,,,
BMWX5,,,,,,,,,,,,,,
BYD Tang,,,,,,,,,,,,,,
JAC A60,,,,,,,,,,,,,,
Tesla modelx,,,,,,,,,,,,,,
Tesla model Y,,,,,,,,,,,,,,
Aiway U5,,,,,,,,,,,,,,
Roewe MarvelX,,,,,,,,,,,,,,
Short,32,0.6530612244897959,,,,,,,,,,,,
Middle,3,0.061224489795918366,,,,,,,,,,,,
Long,4,0.08163265306122448,,,,,,,,,,,,
Post 2030,10,0.20408163265306123,,,,,,,,,,,,
