,,BYD Qin Pro EV,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,174800,162760,151904,142113.6,133282.24,125314.01599999999,118122.61439999999,111630.35295999999,105767.31766399999,100470.58589759999,95683.52730783999,91355.174577056
,,Purchase Tax,0,0,15190.400000000001,14211.36,13328.224,12531.4016,11812.26144,11163.035296,10576.7317664,10047.05858976,9568.352730784,9135.5174577056
,,Consumer Final Price,174800,162760,167094.4,156324.96000000002,146610.46399999998,137845.4176,129934.87584,122793.38825599999,116344.04943039999,110517.64448735998,105251.88003862399,100490.6920347616
,,Dealer Gross Profit(5%),8740,8138,7595.200000000001,7105.68,6664.112,6265.7008,5906.13072,5581.517648,5288.3658832,5023.52929488,4784.176365392,4567.7587288528
,,Range (km),420,420,420,420,420,420,420,420,420,420,420,420
,,Battery (kwh),69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,35000,35000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,201060,189622,144308.8,135007.92,126618.128,119048.31519999998,112216.48367999999,106048.835312,100478.95178079998,95447.05660271998,90899.35094244799,86787.41584820319
,,Revenue (after vat),174922.2,164971.13999999998,125548.65599999999,117456.8904,110157.77136,103572.03422399999,97628.34080159999,92262.48672144,87416.68804929598,83038.93924436638,79082.43531992975,75505.05178793678
,,Power Battery System Cost,83400,75060,67554.00000000001,60798.60000000001,54718.74000000001,49246.86600000001,44322.17940000001,39889.961460000006,35900.96531400001,32310.86878260001,29079.78190434001,26171.803713906007
,,"Electric Motor &
Electric Controlling",15000,14800,14600,14400,14200,14000,13800,13600,13400,13200,13000,12800
,,Other Cost,35000,31500,28350,25515,22963.5,20667.15,18600.435,16740.3915,15066.352350000001,13559.717115000001,12203.745403500001,10983.370863150001
,,Profit Margin(BEV),41522.20000000001,43611.139999999985,15044.655999999974,16743.29039999999,18275.531359999986,19658.018223999978,20905.72640159998,22032.133761439993,23049.370385295966,23968.353346766373,24798.908012089738,25549.87721088078
,,PM/Revenue,0.20651646274743862,0.22998987459261047,0.1042532125552979,0.12401709766360365,0.1443358202231515,0.16512638747532632,0.18629817755843606,0.20775460377872662,0.22939501235621323,0.2511167363340499,0.272817217669584,0.29439610525527304
,,BYD Pro,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,115800,116400,117012,117636.24,118272.9648,118922.424096,119584.87257792,120260.5700294784,120949.78143006796,121652.77705866931,122369.83259984269,123101.22925183956
,,Purchase Tax,11580,11640,11701.2,11763.624000000002,11827.29648,11892.242409600001,11958.487257792001,12026.05700294784,12094.978143006796,12165.27770586693,12236.98325998427,12310.122925183956
,,Consumer Final Price,127380,128040,128713.2,129399.864,130100.26128,130814.6665056,131543.359835712,132286.62703242624,133044.75957307476,133818.05476453624,134606.81585982695,135411.3521770235
,,Dealer Gross Profit (5%),5790,5820,5850.6,5881.812000000001,5913.64824,5946.121204800001,5979.243628896001,6013.02850147392,6047.489071503398,6082.638852933465,6118.491629992135,6155.061462591978
,,Auto Company Revenue,110010,110580,111161.4,111754.428,112359.31656,112976.3028912,113605.628949024,114247.54152800448,114902.29235856456,115570.13820573584,116251.34096985056,116946.16778924757
,,Revenue (after vat),95708.7,96204.6,96710.41799999999,97226.35236,97752.60540720001,98289.383515344,98836.89718565089,99395.3611293639,99964.99435195117,100546.02023899018,101138.66664376999,101743.16597664538
,,Motor Cost,20000,20400,20808,21224.16,21648.6432,22081.616063999998,22523.24838528,22973.7133529856,23433.18762004531,23901.851372446217,24379.888399895142,24867.486167893047
,,Transmission Cost,10000,10200,10404,10612.08,10824.3216,11040.808031999999,11261.62419264,11486.8566764928,11716.593810022656,11950.925686223109,12189.944199947571,12433.743083946523
,,48V System Cost,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,,Other Cost,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
,,Profit Margin(ICEV),21708.699999999997,21604.600000000006,21498.41799999999,21390.11236,21279.64060720001,21166.959419344,21052.0246077309,20934.791099885493,20815.212921883205,20693.24318032086,20568.834043927272,20441.93672480581
,,PM/Revenue,0.1973338787382965,0.1953752939048653,0.19339822996111952,0.1914028172557064,0.18938919582904953,0.1873575154935677,0.18530793590498193,0.1832406266243719,0.18115576717065981,0.17905354706319662,0.17693416585415336,0.17479783315041908
