,,B Class BEV Sample Avg,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,214091.29758138885,202051.29758138885,191195.29758138885,181404.89758138885,172573.53758138884,164605.31358138885,157413.91198138884,150921.65054138884,145058.61524538885,139761.88347898886,134974.82488922885,130646.47215844486
,,Purchase Tax,0,0,19119.529758138884,18140.489758138887,17257.353758138885,16460.531358138887,15741.391198138885,15092.165054138884,14505.861524538886,13976.188347898888,13497.482488922886,13064.647215844487
,,Consumer Final Price,214091.29758138885,202051.29758138885,210314.82733952772,199545.38733952775,189830.89133952773,181065.84493952774,173155.30317952772,166013.81559552773,159564.47676992774,153738.07182688775,148472.30737815175,143711.11937428935
,,Dealer Gross Profit(5%),10704.564879069443,10102.564879069443,9559.764879069442,9070.244879069443,8628.676879069442,8230.265679069444,7870.695599069442,7546.082527069442,7252.930762269443,6988.094173949444,6748.741244461443,6532.323607922243
,,Range (km),420,420,420,420,420,420,420,420,420,420,420,420
,,Battery (kwh),69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,35000,35000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,238386.7327023194,226948.7327023194,181635.5327023194,172334.6527023194,163944.8607023194,156375.0479023194,149543.2163823194,143375.5680143194,137805.6844831194,132773.78930503942,128226.08364476741,124114.14855052262
,,Revenue (after vat),207396.45745101786,197445.39745101787,158022.9134510179,149931.1478510179,142632.02881101787,136046.29167501788,130102.59825261787,124736.74417245788,119890.94550031389,115513.1966953843,111556.69277094764,107979.30923895468
,,Power Battery System Cost,83400,75060,67554.00000000001,60798.60000000001,54718.74000000001,49246.86600000001,44322.17940000001,39889.961460000006,35900.96531400001,32310.86878260001,29079.78190434001,26171.803713906007
,,"Electric Motor &
Electric Controlling",15000,14800,14600,14400,14200,14000,13800,13600,13400,13200,13000,12800
,,Other Cost,35000,31500,28350,25515,22963.5,20667.15,18600.435,16740.3915,15066.352350000001,13559.717115000001,12203.745403500001,10983.370863150001
,,Profit Margin(BEV),73996.45745101786,76085.39745101787,47518.913451017885,49217.54785101788,50749.78881101785,52132.275675017874,53379.983852617865,54506.39121245788,55523.627836313884,56442.610797784284,57273.16546310764,58024.13466189867
,,PM/Revenue,0.31040509936188204,0.33525367841915377,0.26161683644188793,0.2855928687542217,0.30955400854660564,0.33337975830762084,0.3569535626152884,0.38016512832238014,0.40291246362275634,0.42510356218056666,0.446657683328885,0.4675062056948248
,,B Class ICEV Sample Avg,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,73167.62499670753,73767.62499670753,74379.62499670753,75003.86499670753,75640.58979670753,76290.04909270753,76952.49757462753,77628.19502618593,78317.4064267755,79020.40205537685,79737.45759655023,80468.8542485471
,,Purchase Tax,7316.762499670753,7376.762499670753,7437.9624996707535,7500.386499670753,7564.058979670754,7629.004909270753,7695.249757462753,7762.819502618593,7831.740642677551,7902.040205537685,7973.745759655023,8046.88542485471
,,Consumer Final Price,80484.38749637827,81144.38749637827,81817.58749637828,82504.25149637829,83204.64877637828,83919.05400197828,84647.74733209028,85391.01452880452,86149.14706945306,86922.44226091454,87711.20335620525,88515.73967340181
,,Dealer Gross Profit (5%),3658.3812498353764,3688.3812498353764,3718.9812498353767,3750.1932498353767,3782.029489835377,3814.5024546353766,3847.6248787313766,3881.4097513092966,3915.8703213387753,3951.0201027688427,3986.8728798275115,4023.442712427355
,,Auto Company Revenue,69509.24374687215,70079.24374687215,70660.64374687216,71253.67174687216,71858.56030687215,72475.54663807215,73104.87269589615,73746.78527487663,74401.53610543672,75069.381952608,75750.58471672272,76445.41153611975
,,Revenue (after vat),60473.04205977877,60968.94205977877,61474.760059778775,61990.69441977878,62516.947466978774,63053.72557512277,63601.23924542965,64159.70318914267,64729.33641172995,65310.36229876897,65903.00870354877,66507.50803642417
,,Motor Cost,20000,20400,20808,21224.16,21648.6432,22081.616063999998,22523.24838528,22973.7133529856,23433.18762004531,23901.851372446217,24379.888399895142,24867.486167893047
,,Transmission Cost,10000,10200,10404,10612.08,10824.3216,11040.808031999999,11261.62419264,11486.8566764928,11716.593810022656,11950.925686223109,12189.944199947571,12433.743083946523
,,48V System Cost,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,,Other Cost,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
,,Profit Margin(ICEV),-13526.957940221233,-13631.057940221232,-13737.239940221225,-13845.545580221224,-13956.017333021224,-14068.698520877224,-14183.63333249035,-14300.866840335733,-14420.445018338018,-14542.414759900359,-14666.823896293947,-14793.721215415397
,,PM/Revenue,-0.1946066049787793,-0.19450920431528812,-0.19441147450385793,-0.19431343312955665,-0.19421509801228995,-0.19411648719441038,-0.1940176189279729,-0.19391851166165502,-0.19381918402736145,-0.1937196548265326,-0.19361994301617708,-0.19352006769465163
