,,Chery eQ1,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,63475,58403,53818.200000000004,49671.880000000005,45920.192,42523.6728,39446.80552,36657.624968000004,34127.3624712,31830.126224080002,29742.613601672,27843.852241504803
,,Purchase Tax,0,0,5381.820000000001,4967.188000000001,4592.019200000001,4252.36728,3944.6805520000003,3665.7624968000005,3412.7362471200004,3183.0126224080004,2974.2613601672,2784.3852241504806
,,Consumer Final Price,63475,58403,59200.020000000004,54639.06800000001,50512.211200000005,46776.04008,43391.486072,40323.387464800006,37540.098718320005,35013.138846488,32716.874961839203,30628.237465655282
,,Dealer Gross Profit(5%),3173.75,2920.15,2690.9100000000003,2483.5940000000005,2296.0096000000003,2126.18364,1972.3402760000001,1832.8812484000002,1706.3681235600002,1591.5063112040002,1487.1306800836,1392.1926120752403
,,Range (km),301,301,301,301,301,301,301,301,301,301,301,301
,,Battery (kwh),30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6
,,Battery Price/wh,1.2,1.08,0.9720000000000001,0.8748000000000001,0.7873200000000001,0.7085880000000001,0.6377292000000001,0.5739562800000001,0.5165606520000001,0.46490458680000013,0.4184141281200001,0.3765727153080001
,,Subsidies,27000,28000,0,0,0,0,0,0,0,0,0,0
,,Auto Company Revenue,87301.25,83482.85,51127.29,47188.28600000001,43624.182400000005,40397.48916,37474.465244,34824.7437196,32420.99434764,30238.619912876,28255.482921588402,26451.659629429563
,,Revenue (after vat),75952.0875,72630.0795,44480.7423,41053.808820000006,37953.03868800001,35145.8155692,32602.78476228,30297.527036052,28206.2650824468,26307.59932420212,24582.270141781908,23012.94387760372
,,Power Battery System Cost,36720,33048,29743.200000000004,26768.88000000001,24091.992000000006,21682.792800000003,19514.513520000004,17563.062168000004,15806.755951200004,14226.080356080005,12803.472320472003,11523.125088424804
,,"Electric Motor &
Electric Controlling",5000,4800,4600,4400,4200,4000,3800,3600,3400,3200,3000,2800
,,Other Cost,12000,10800,9720,8748,7873.2,7085.88,6377.292,5739.562800000001,5165.60652,4649.045868,4184.1412812,3765.72715308
,,Profit Margin(BEV),22232.087499999994,23982.079500000007,417.5422999999937,1136.9288199999974,1787.8466880000024,2377.142769199997,2910.9792422799956,3394.902068051996,3833.9026112467955,4232.473100122116,4594.656540109905,4924.091636098917
,,PM/Revenue,0.2546594407296573,0.2872695350003025,0.008166720747373735,0.02409345446452531,0.04098292712071555,0.05884382466902795,0.07767900684709757,0.09748534247335418,0.1182537022195272,0.13996912267546555,0.16261114888251973,0.18615435496608596
,,Chery QQ6,,,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Retail Price,51066,51366,51672,51984.12,52302.4824,52627.212048,52958.43628896,53296.2850147392,53640.89071503398,53992.388529334654,54350.916299921344,54716.61462591978
,,Purchase Tax,5106.6,5136.6,5167.200000000001,5198.412,5230.248240000001,5262.7212048,5295.843628896,5329.628501473921,5364.089071503398,5399.238852933466,5435.091629992135,5471.661462591978
,,Consumer Final Price,56172.6,56502.6,56839.2,57182.53200000001,57532.73064,57889.9332528,58254.279917856,58625.91351621312,59004.97978653738,59391.62738226812,59786.00792991348,60188.27608851175
,,Dealer Gross Profit (5%),2553.3,2568.3,2583.6000000000004,2599.206,2615.1241200000004,2631.3606024,2647.921814448,2664.8142507369603,2682.044535751699,2699.619426466733,2717.5458149960673,2735.830731295989
,,Auto Company Revenue,48512.7,48797.7,49088.4,49384.914000000004,49687.35828,49995.8514456,50310.514474512005,50631.47076400224,50958.84617928228,51292.76910286792,51633.370484925275,51980.78389462379
,,Revenue (after vat),42206.049,42453.998999999996,42706.908,42964.87518,43228.0017036,43496.390757672,43770.147592825444,44049.37956468195,44334.19617597558,44624.70911949509,44921.03232188499,45223.2819883227
,,Motor Cost,10000,10200,10404,10612.08,10824.3216,11040.808031999999,11261.62419264,11486.8566764928,11716.593810022656,11950.925686223109,12189.944199947571,12433.743083946523
,,Transmission Cost,5000,5100,5202,5306.04,5412.1608,5520.4040159999995,5630.81209632,5743.4283382464,5858.296905011328,5975.462843111554,6094.972099973786,6216.871541973262
,,48V System Cost,0,0,0,0,0,0,0,0,0,0,0,0
,,Other Cost,16000,16000,16000,16000,16000,16000,16000,16001,16002,16003,16004,16005
,,Profit Margin(ICEV),11206.048999999999,11153.998999999996,11100.908000000003,11046.75518,10991.519303599998,10935.178709672,10877.711303865442,10818.094549942747,10757.305460941596,10695.32059016043,10632.11602196363,10567.667362402914
,,PM/Revenue,0.23099207011772174,0.22857632634324973,0.22614116573365609,0.22368683642944076,0.22121359806774574,0.21872172177266472,0.21621149013247,0.2136634466015582,0.21109790090410374,0.20851517235715836,0.2059155914500633,0.20329949975025086
,,,,,,,0,,,,,,,
