,,A00,,,A,,,B,,,C,,,
,,BEV,ICEV,A00 TCO,BEV,ICEV,A TCO,BEV,ICEV,B TCO,BEV,ICEV,C TCO,
,10,83305.03178586805,76931.73652947787,6373.295256390178,,,,,,,,,,
,20,86354.07322846068,92122.62419329112,-5768.550964830443,150866.69605164177,135614.17936159542,15252.516690046352,,,,,,,
,40,92452.15611364596,122504.39952091762,-30052.243407271657,157978.1753958309,168582.22690230468,-10604.05150647377,227678.1753958309,187896.57608254108,39781.59931328983,,,,
,60,98550.23899883125,152886.17484854412,-54335.93584971287,165089.65474002005,201550.27444301388,-36460.619702993834,234789.65474002005,224559.29821336857,10230.356526651478,615398.1932317826,547809.2982133685,67588.89501841413,
,80,,,,172201.1340842092,233918.3219837232,-61717.187899514014,241901.13408420916,260622.020344196,-18720.886259986844,623607.5187398925,583872.020344196,39735.498395696515,
,90,,,,,,,,,,627812.1814939475,602203.3814096097,25608.800084337825,
,120,,,,,,,,,,640026.1697561125,657197.4646058509,-17171.294849738362,
,300,,,,205200.98682611823,411834.7180384576,-206633.7312123394,271599.01794415095,466667.0466236766,-195068.02867952565,,,,
,,,83305.03178586805,,,,,,,,,,,
,,,,A00 TCO (diff) ,A TCO (diff) ,B TCO (diff) ,C TCO (diff) ,,,,,,,
,,,10,6373.295256390178,,,,,,,,,,
,,,20,-5768.550964830443,15252.516690046352,,,,,,,,,
,,,40,-30052.243407271657,-10604.05150647377,39781.59931328983,,,,,,,,
,,,60,-54335.93584971287,-36460.619702993834,10230.356526651478,67588.89501841413,,,,,,,
,,,80,,-61717.187899514014,-18720.886259986844,39735.498395696515,,,,,,,
,,,90,,,,25608.800084337825,,,,,,,
,,,120,,,,-17171.294849738362,,,,,,,
,,,300,,-206633.7312123394,-195068.02867952565,,,,,,,,
,,Average Price,ICEV,BEV,,,,,,,,,,
,,A00,51066,63475,,,,,,,,,,
,,A,140427.77777777778,160144.44444444444,,,,,,,,,,
,,B,156125,180670.83333333334,,,,,,,,,,
,,C,532285.7142857143,516685.71428571426,,,,,,,,,,
,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,10,A00 10km/day,3700.145256390184,-3522.3601500122895,-1963.4356796236098,-5841.78955400351,-9358.605683275251,-12551.21201727393,-15453.196909461469,-18094.783832720612,-20503.16861240346,-22702.82292546126,-24715.76743958598,-26561.817628891804
,20,A00 20km/day,-8441.700964830437,-15306.366190032291,-13400.149893235255,-16941.449287607073,-20131.146446618484,-23006.276384656514,-25600.14315838532,-27942.69432773278,-30060.857941648806,-31978.84579724045,-33718.42634599941,-35299.17028344058
,40,A00 40km/day,-32725.39340727165,-38874.37827007231,-36273.578320458575,-39140.768754814184,-41676.227973304995,-43916.40511942167,-45894.03565623298,-47638.51531775714,-49176.23660013953,-50530.891540798875,-51723.74415882626,-52773.87559253812
,60,A00 60km/day,-57009.085849712865,-62442.39035011237,-59147.006747681924,-61340.08822202128,-63221.30949999152,-64826.53385418684,-66187.92815408068,-67334.33630778149,-68291.61525863023,-69082.93728435735,-69729.06197165311,-70248.58090163568
,300,A00 300km/day,-217011.0977335668,-214820.65847919107,-207036.98133902048,-204873.9990184665,-202527.48981025873,-200029.5353937046,-197408.63250038237,-194690.06307026645,-191896.2270595731,-189046.9416451868,-186159.71019574982,-183249.96404220583
,20,A 20km/day,8014.46113449079,245.37618235350237,7445.034750936524,353.61493650788907,-6046.13397673337,-12035.968586990348,-17463.53324273316,-22386.754622772947,-26857.76083826943,-32324.59090078772,-37387.522330494234,-42085.73508273471
,30,A 30km/day,-4813.822963769257,-12205.161777122237,-4638.882588360313,-11374.47956086768,-17428.885326816497,-23083.547772909602,-28185.81163204438,-32793.312795326725,-36957.89715392026,-40726.20126847083,-44140.17493998761,-47237.55149332681
,40,A 40km/day,-17842.107062029332,-24849.699736598035,-16910.9799276572,-23285.10865824329,-28988.695238899614,-34302.87376396879,-39074.68442234132,-43361.46753683666,-47214.78214145859,-50680.986394027335,-53801.75989783993,-56614.57374328085
,60,A 60km/day,-43698.675258549396,-49944.77565554957,-41266.994606250926,-46923.8322529945,-51931.2565010658,-56569.77894094723,-60685.83560194954,-64336.18045090034,-67571.80344464767,-70438.51043340942,-72977.44498816544,-75225.55796257134
,80,A 80km/day,-68955.24345506949,-74457.85157450123,-65058.4692848447,-70014.95204774573,-74342.64207723207,-78321.44370250581,-81797.20357860028,-84826.1036580953,-87458.57873217412,-89739.8958375988,-91710.67560235408,-93407.36134000898
,300,A 300km/day,-213871.78676789493,-215109.74799472,-201571.24512971737,-202510.4381291755,-202939.08251981437,-202923.1875926027,-202521.76395714236,-201787.5359764064,-204274.48200581878,-206415.56990127044,-208251.2340928891,-209817.73807463763
,20,B 20km/day,18625.550433261524,8720.477362389793,15567.372374488506,6532.083079115022,-1623.0683585388178,-9199.156802889454,-16061.212186884513,-22282.807642754895,-27930.152796557843,-33062.83146048794,-37734.46553946931,-41993.31253155148
,30,B 30km/day,3949.9290399423335,-5523.591951512295,1742.1624580786738,-6886.58673584598,-14647.154968413553,-21840.265367247164,-28330.606477592286,-34191.420088509185,-39488.59423182084,-44281.400587529264,-48623.158111957804,-52561.83026789305
,40,B 40km/day,-10925.692353376828,-19961.661265414412,-12271.227458331094,-20487.79115080691,-27848.30014028828,-34653.12073674484,-40766.59516928578,-46261.62910321969,-51203.78433897137,-55652.01592630145,-59659.33550982535,-63273.408284852194
,60,B 60km/day,-40476.93514001518,-48643.79989321862,-40109.827291150694,-47507.66538072887,-54073.53192203774,-60107.08467060019,-65471.97815168716,-70240.45056368443,-74477.41588138483,-78241.20039211499,-81584.20548018144,-84553.5040381529
,80,B 80km/day,-69428.1779266535,-76743.93852102279,-67383.88712397034,-73979.93581065079,-79767.58801778723,-85045.80818903568,-89677.57793113109,-93734.48231728055,-97280.80140813568,-100374.24622273576,-103066.62097440055,-105404.41894960069
,300,B 300km/day,-245775.32034619228,-247910.9797050411,-233523.01710845402,-235238.8725130622,-236289.70867491476,-233954.3434462687,-231195.4453589364,-228078.07186167713,-227676.10004689812,-226937.31384476053,-225910.10524973064,-224637.65566945355
,20,C 20km/day,14784.259692420368,-534.789480313193,33991.92886793456,19851.333629756176,6911.603491184767,-5164.0805023726425,-16272.995041678427,-26517.813852373743,-35991.017072508985,-44775.913451906,-52947.56034802273,-60573.59174018906
,30,C 30km/day,457.5613810615614,-14439.92376318574,20495.951603009773,6752.471594877716,-5801.830632066121,-17503.429999420187,-28249.269294099882,-38141.69816876174,-47272.88222983171,-55725.82495589409,-63575.287420857174,-70888.61604352394
,40,C 40km/day,-13869.136930297129,-28345.058046058286,6999.974338084983,-6346.390440000861,-18515.26475531701,-29842.779496467556,-40225.54354652134,-49765.58248514979,-58554.747387154726,-66675.73645988229,-74203.01449369156,-81203.64034685871
,60,C 60km/day,-42322.533553014626,-55961.326611803495,-19803.80019176472,-32361.57990975777,-43765.07443981897,-54349.7316854223,-64011.497650378384,-72851.75454896968,-80961.72902991303,-88423.51325612754,-95310.98381398147,-101690.62867291056
,80,C 80km/day,-70175.93017573212,-82995.59517754859,-46043.034721614444,-57829.16557951475,-68483.70843832078,-78341.44345895719,-87297.66855127807,-95453.13690592092,-102898.46465700859,-109715.15141718026,-115976.49865813443,-121748.43615710962
,90,C 90km/day,-84302.62848709081,-96706.72946042113,-59350.831986539066,-70745.4930143932,-81020.08399957174,-90509.04615086463,-99107.34840271366,-106915.42465335276,-114023.58114244381,-120513.01670943754,-126456.74090558989,-131920.40017982683
,120,C 120km/day,-127082.72342116723,-138228.1323090389,-99650.58378131362,-109859.54451902857,-118983.3278073247,-127355.34783686692,-134869.57675899228,-141625.48103356076,-147712.42794252507,-153210.705009671,-158192.43729871413,-162722.4128092135
,300,C 300km/day,-230118.05571906874,-238235.4355108851,-196718.86290931958,-204075.1879161218,-210430.18408010446,-215904.38657157967,-220605.91749537888,-224631.74258885224,-228068.80189339718,-230995.02701458987,-233480.25632414938,-235587.05832133646
